"";"m1";"m2";"chr";"pos";"lod"
"1";"Sema7a";"sdcbp";"4";2,91;23,7657815217425
"2";"Zfp64";"Atp6v1g1";"4";34,010002;3,07695930592983
"3";"Plb1";"rpl9";"5";33,660002;5,50505720206178
"4";"Rasgrf2";"sdcbp";"4";2,91;4,79697888124946
"5";"Klf2";"sdcbp";"4";2,91;3,43552559233235
"6";"Klf2";"Plek";"11";9,41;3,51830728766566
"7";"Pla2g4d";"Cd36";"5";8,11;4,29460078937511
"8";"Als2cl";"Ccrl2";"9";60,920005;4,36102990946709
"9";"Cars2";"sdcbp";"4";2,91;4,44729101771946
"10";"Cars2";"Rps11";"7";29,140003;3,53769835291771
"11";"Iqcj";"rpl9";"5";33,660002;4,29470411144324
"12";"Iqcj";"Tmbim6";"15";56,130003;85,2436985037278
"13";"Hif3a";"Rps3a1";"3";37,830003;4,29460102140447
"14";"Zfp553";"Rpl34";"3";60,550006;4,32068383729655
"15";"Appl1";"Rpl24";"16";33,740003;3,04769587677745
"16";"Serping1";"sdcbp";"4";2,91;5,93953068522412
"17";"Ap1ar";"Atp5a1";"18";52,380004;3,27762012629775
"18";"Eaf2";"Ccrl2";"9";60,920005;3,0411732007275
"19";"Wisp2";"rpl9";"5";33,660002;4,29470411144324
"20";"Wisp2";"Tmbim6";"15";56,130003;85,2436985037278
"21";"Socs5";"Iqgap1";"7";45,680005;3,57754104004839
"22";"Il1r1";"Prdx1";"4";53,280004;3,10417824129199
"23";"Usp53";"Cd53";"3";46,530005;3,69671254904709
"24";"Ysk4";"Ptprc";"1";60,730007;3,2165685344684
"25";"Dub1";"Znfx1";"2";87,220007;3,14897529824694
"26";"Ccl7";"Rps4x";"X";45,200001;3,15874604142286
"27";"Hlcs";"spp1";"5";50,680004;5,85282805885855
"28";"Pydc3";"Cflar";"1";29,160002;3,14475270573648
"29";"Mrto4";"Rpl35a";"16";23,590002;3,10618733785301
"30";"Lrrc20";"Aldoa";"7";69,250007;3,05558307981311
"31";"Ffar2";"Tnfaip2";"12";60,990006;7,39972630206684
"32";"A830010M20Rik";"Rpl35a";"16";23,590002;4,2242188222818
"33";"Shank3";"Gnb2l1";"11";28,770002;3,99547942517887
"34";"Mical2";"Iqgap1";"7";45,680005;5,82641803303056
"35";"Dlc1";"arpc1b";"5";85,030006;3,56122351761979
"36";"Tom1";"Calr";"8";41,210003;3,05855087927614
"37";"Spic";"Srgn";"10";32,420003;3,75392953608637
"38";"Spic";"Gnb2l1";"11";28,770002;4,52275020582321
"39";"Gadd45gip1";"isg15";"4";88,610006;3,15376939904163
"40";"Rps23";"Srgn";"10";32,420003;3,17612915689128
"41";"Pkd1l3";"Erbb2ip";"13";56,160005;3,58487273744986
"42";"Gas7";"Pik3r5";"11";41,690005;7,93779149119901
"43";"Fzd10";"Rps24";"14";14,42;3,33295710344651
"44";"Arhgef17";"Cd274";"19";23,880004;4,69261220307916
"45";"Arhgap6";"Ptma";"1";43,960005;3,04947668618894
"46";"Zfp433";"Cd44";"2";54,130004;3,47286320866893
"47";"Smc1b";"sdcbp";"4";2,91;3,53984219543678
"48";"Smc1b";"Rpl24";"16";33,740003;3,1221665937324
"49";"Pot1b";"Rpl34";"3";60,550006;3,06287527182227
"50";"Mgat1";"arpc1b";"5";85,030006;4,21882207903695
"51";"Sprr2e";"rpl9";"5";33,660002;4,29470411144324
"52";"Sprr2e";"Tmbim6";"15";56,130003;85,2436985037278
"53";"Gnrh1";"sdcbp";"4";2,91;10,4206722173874
"54";"Bcar1";"Plek";"11";9,41;3,0894564609689
"55";"Tbx3";"spp1";"5";50,680004;3,98586272330935
